0.0217081785562711	 Actinobacteria	 Actinomycetia	 Corynebacteriales	Unclassified  Corynebacteriales	Unclassified  Corynebacteriales	Unclassified  Corynebacteriales sp.
0.0167313035186006	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	Unclassified  Mycobacteriaceae	Unclassified  Mycobacteriaceae sp.
0.0133300220858208	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium sp.
22.7449191482891	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  canettii
0.0071276853554576	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  tuberculosis
0.0018006784055893	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. JS623
0.0017756689832894	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. MS1601
0.00167563129409	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. DL592
0.0016256124494903	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. 'sulfur cave'
0.0014005276487916	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. IDR2000157661
0.0013505088041919	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. YC-RL4
0.0013254993818921	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. SMC-8
0.0012754805372924	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. SMC-2
0.0010503957365937	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. DL440
0.0010253863142939	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. EPa45
0.001000376891994	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. SMC-4
0.0003001130675982	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium  sp. WY10
